data_size,threads,implementation,schedule,mean_time,std_time,min_time,max_time,sequential_time,speedup_vs_sequential,efficiency,simd_speedup,simd_advantage_percent,simd_significant
1000000,1,parallel,dynamic,0.013360014,0.0004560767482359732,0.012800026,0.014000034,0.001599989,0.11975953019210908,0.11975953019210908,1.0810683893970245,-735.0066156704828,0
1000000,1,parallel,guided,0.0015600108,0.00021909080397679862,0.001200008,0.001800013,0.001599989,1.0256268738652323,1.0256268738652323,1.0810683893970245,2.4986546782509156,0
1000000,1,parallel,static,0.0013199998000000001,0.0001788724690057137,0.001000023,0.001399994,0.001599989,1.212113062441373,1.212113062441373,1.0810683893970245,17.49944530868649,0
1000000,1,sequential,none,0.001599989,0.00039998912516842256,0.001200008,0.002199984,0.001599989,1.0,1.0,1.0810683893970245,0.0,0
1000000,1,simd,none,0.0014800072,0.0004147229920509592,0.001000023,0.001999998,0.001599989,1.0810683893970245,1.0810683893970245,1.0810683893970245,7.498914055034126,0
1000000,2,parallel,dynamic,0.0229599952,0.0007924575826009237,0.021600008,0.023600006,0.001599989,0.06968594662423971,0.03484297331211986,1.0810683893970245,-1335.009565690764,0
1000000,2,parallel,guided,0.0014800072,0.00030331033680242416,0.001000023,0.001800013,0.001599989,1.0810683893970245,0.5405341946985123,1.0810683893970245,7.498914055034126,0
1000000,2,parallel,static,0.0014399908000000002,0.0001673198139752134,0.001200008,0.001599979,0.001599989,1.1111105709842033,0.5555552854921016,1.0810683893970245,9.999956249699204,0
1000000,4,parallel,dynamic,0.026640005,0.0007402662362363275,0.025800037,0.027600002,0.001599989,0.060059635874692964,0.015014908968673241,1.0810683893970245,-1565.0117594558462,0
1000000,4,parallel,guided,0.0014400006,8.945747714864303e-05,0.001399994,0.001600027,0.001599989,1.111103009262635,0.27777575231565876,1.0810683893970245,9.999343745488245,0
1000000,4,parallel,static,0.0015599822000000002,0.0002966584234683046,0.001199961,0.001999998,0.001599989,1.0256456772391376,0.2564114193097844,1.0810683893970245,2.500442190540049,0
1000000,8,parallel,dynamic,0.0562799928,0.0029786043947345893,0.051599979,0.058400011,0.001599989,0.02842909034629443,0.003553636293286804,1.0810683893970245,-3417.523732975664,0
1000000,8,parallel,guided,0.0019200232000000002,0.0006260946734681584,0.001400042,0.003000021,0.001599989,0.8333175349131198,0.10416469186413997,1.0810683893970245,-20.00227501564074,0
1000000,8,parallel,static,0.0018800067999999999,0.0006260957119588027,0.001200008,0.002799988,0.001599989,0.8510549004397219,0.10638186255496523,1.0810683893970245,-17.501232820975634,0
5000000,1,parallel,dynamic,0.0687199974,0.004191913808806106,0.065399981,0.076000023,0.008519992600000002,0.12398127069777802,0.12398127069777802,1.0979385206987238,-706.573439981626,0
5000000,1,parallel,guided,0.010120001,0.004738354946659759,0.007399988,0.018400002,0.008519992600000002,0.841896418784939,0.841896418784939,1.0979385206987238,-18.7794576253505,0
5000000,1,parallel,static,0.0082000066,0.0014764671687498847,0.007200003,0.01079998,0.008519992600000002,1.0390226515183538,1.0390226515183538,1.0979385206987238,3.755707487351588,0
5000000,1,sequential,none,0.008519992600000002,0.0016528683312642596,0.007399988,0.011399984,0.008519992600000002,1.0,1.0,1.0979385206987238,0.0,0
5000000,1,simd,none,0.0077599906,0.000433600000203875,0.007399988,0.008400011,0.008519992600000002,1.0979385206987238,1.0979385206987238,1.0979385206987238,8.920219015213718,0
