data_size,run,threads,implementation,schedule,time_seconds,checksum
100000,1,1,sequential,none,0.001207807,343428233.35000026
100000,1,1,simd,none,0.000110302,343428233.35000026
100000,2,1,sequential,none,0.000141068,343428233.35000026
100000,2,1,simd,none,0.000084492,343428233.35000026
100000,3,1,sequential,none,0.000063713,343428233.35000026
100000,3,1,simd,none,0.000060800,343428233.35000026
100000,4,1,sequential,none,0.000083940,343428233.35000026
100000,4,1,simd,none,0.000080091,343428233.35000026
100000,5,1,sequential,none,0.000060442,343428233.35000026
100000,5,1,simd,none,0.000070301,343428233.35000026
100000,6,1,sequential,none,0.000063708,343428233.35000026
100000,6,1,simd,none,0.000077604,343428233.35000026
100000,7,1,sequential,none,0.000054183,343428233.35000026
100000,7,1,simd,none,0.000049491,343428233.35000026
100000,1,1,parallel,static,0.000058831,343428233.35000026
100000,1,1,parallel,dynamic,0.001891415,343428233.35000026
100000,1,1,parallel,guided,0.000073724,343428233.35000026
100000,2,1,parallel,static,0.000049096,343428233.35000026
100000,2,1,parallel,dynamic,0.001721268,343428233.35000026
100000,2,1,parallel,guided,0.000047830,343428233.35000026
100000,3,1,parallel,static,0.000066816,343428233.35000026
100000,3,1,parallel,dynamic,0.001732540,343428233.35000026
100000,3,1,parallel,guided,0.000071232,343428233.35000026
100000,4,1,parallel,static,0.000072759,343428233.35000026
100000,4,1,parallel,dynamic,0.001684727,343428233.35000026
100000,4,1,parallel,guided,0.000048265,343428233.35000026
100000,5,1,parallel,static,0.000046244,343428233.35000026
100000,5,1,parallel,dynamic,0.001690510,343428233.35000026
100000,5,1,parallel,guided,0.000047836,343428233.35000026
100000,6,1,parallel,static,0.000059007,343428233.35000026
100000,6,1,parallel,dynamic,0.003758712,343428233.35000026
100000,6,1,parallel,guided,0.000099683,343428233.35000026
100000,7,1,parallel,static,0.000070213,343428233.35000026
100000,7,1,parallel,dynamic,0.001955229,343428233.35000026
100000,7,1,parallel,guided,0.000051617,343428233.35000026
100000,1,2,parallel,static,0.000052864,343428233.35000026
100000,1,2,parallel,dynamic,0.006390707,343428233.35000026
100000,1,2,parallel,guided,0.000027833,343428233.35000026
100000,2,2,parallel,static,0.000036837,343428233.35000026
100000,2,2,parallel,dynamic,0.006109816,343428233.35000026
100000,2,2,parallel,guided,0.000036919,343428233.35000026
100000,3,2,parallel,static,0.000026259,343428233.35000026
100000,3,2,parallel,dynamic,0.005655285,343428233.35000026
100000,3,2,parallel,guided,0.000041763,343428233.35000026
100000,4,2,parallel,static,0.000037629,343428233.35000026
100000,4,2,parallel,dynamic,0.005454078,343428233.35000026
100000,4,2,parallel,guided,0.000037854,343428233.35000026
100000,5,2,parallel,static,0.000035277,343428233.35000026
100000,5,2,parallel,dynamic,0.005936687,343428233.35000026
100000,5,2,parallel,guided,0.000033273,343428233.35000026
100000,6,2,parallel,static,0.000033759,343428233.35000026
100000,6,2,parallel,dynamic,0.005821252,343428233.35000026
100000,6,2,parallel,guided,0.000027173,343428233.35000026
100000,7,2,parallel,static,0.000030664,343428233.35000026
100000,7,2,parallel,dynamic,0.004326622,343428233.35000026
100000,7,2,parallel,guided,0.000043401,343428233.35000026
100000,1,4,parallel,static,0.000198547,343428233.35000026
100000,1,4,parallel,dynamic,0.004153940,343428233.35000026
100000,1,4,parallel,guided,0.000025808,343428233.35000026
100000,2,4,parallel,static,0.000029136,343428233.35000026
100000,2,4,parallel,dynamic,0.004488985,343428233.35000026
100000,2,4,parallel,guided,0.000025918,343428233.35000026
100000,3,4,parallel,static,0.000027488,343428233.35000026
100000,3,4,parallel,dynamic,0.004532472,343428233.35000026
100000,3,4,parallel,guided,0.000023126,343428233.35000026
100000,4,4,parallel,static,0.000045728,343428233.35000026
100000,4,4,parallel,dynamic,0.004789919,343428233.35000026
100000,4,4,parallel,guided,0.000028448,343428233.35000026
100000,5,4,parallel,static,0.000025693,343428233.35000026
100000,5,4,parallel,dynamic,0.004564414,343428233.35000026
100000,5,4,parallel,guided,0.000025589,343428233.35000026
100000,6,4,parallel,static,0.000021161,343428233.35000026
100000,6,4,parallel,dynamic,0.003813385,343428233.35000026
100000,6,4,parallel,guided,0.000085328,343428233.35000026
100000,7,4,parallel,static,0.000085189,343428233.35000026
100000,7,4,parallel,dynamic,0.003130294,343428233.35000026
100000,7,4,parallel,guided,0.000028194,343428233.35000026
100000,1,8,parallel,static,0.000386199,343428233.35000026
100000,1,8,parallel,dynamic,0.003215418,343428233.35000026
100000,1,8,parallel,guided,0.000028091,343428233.35000026
100000,2,8,parallel,static,0.000019300,343428233.35000026
100000,2,8,parallel,dynamic,0.003168744,343428233.35000026
100000,2,8,parallel,guided,0.000022830,343428233.35000026
100000,3,8,parallel,static,0.000023165,343428233.35000026
100000,3,8,parallel,dynamic,0.003287660,343428233.35000026
100000,3,8,parallel,guided,0.000026989,343428233.35000026
100000,4,8,parallel,static,0.000023145,343428233.35000026
100000,4,8,parallel,dynamic,0.003197067,343428233.35000026
100000,4,8,parallel,guided,0.000028270,343428233.35000026
100000,5,8,parallel,static,0.000024886,343428233.35000026
100000,5,8,parallel,dynamic,0.003356076,343428233.35000026
100000,5,8,parallel,guided,0.000028606,343428233.35000026
100000,6,8,parallel,static,0.000019817,343428233.35000026
100000,6,8,parallel,dynamic,0.003463769,343428233.35000026
100000,6,8,parallel,guided,0.000028571,343428233.35000026
100000,7,8,parallel,static,0.000054033,343428233.35000026
100000,7,8,parallel,dynamic,0.003730943,343428233.35000026
100000,7,8,parallel,guided,0.000104340,343428233.35000026
1000000,1,1,sequential,none,0.007134771,334333832333.50012
1000000,1,1,simd,none,0.001114214,334333832333.50012
1000000,2,1,sequential,none,0.000982132,334333832333.50012
1000000,2,1,simd,none,0.000927085,334333832333.50012
1000000,3,1,sequential,none,0.001153944,334333832333.50012
1000000,3,1,simd,none,0.001079312,334333832333.50012
1000000,4,1,sequential,none,0.001287399,334333832333.50012
1000000,4,1,simd,none,0.000965116,334333832333.50012
1000000,5,1,sequential,none,0.000848155,334333832333.50012
1000000,5,1,simd,none,0.001341937,334333832333.50012
1000000,6,1,sequential,none,0.001030651,334333832333.50012
1000000,6,1,simd,none,0.000937100,334333832333.50012
1000000,7,1,sequential,none,0.000865788,334333832333.50012
1000000,7,1,simd,none,0.000932122,334333832333.50012
1000000,1,1,parallel,static,0.000940719,334333832333.50012
1000000,1,1,parallel,dynamic,0.014195474,334333832333.50012
1000000,1,1,parallel,guided,0.001017454,334333832333.50012
1000000,2,1,parallel,static,0.000907400,334333832333.50012
1000000,2,1,parallel,dynamic,0.015336531,334333832333.50012
1000000,2,1,parallel,guided,0.001045295,334333832333.50012
1000000,3,1,parallel,static,0.001139698,334333832333.50012
1000000,3,1,parallel,dynamic,0.015079757,334333832333.50012
1000000,3,1,parallel,guided,0.001118786,334333832333.50012
1000000,4,1,parallel,static,0.001037173,334333832333.50012
1000000,4,1,parallel,dynamic,0.018572718,334333832333.50012
1000000,4,1,parallel,guided,0.001085693,334333832333.50012
1000000,5,1,parallel,static,0.000895413,334333832333.50012
1000000,5,1,parallel,dynamic,0.015359927,334333832333.50012
1000000,5,1,parallel,guided,0.001508159,334333832333.50012
1000000,6,1,parallel,static,0.001116516,334333832333.50012
1000000,6,1,parallel,dynamic,0.016341427,334333832333.50012
1000000,6,1,parallel,guided,0.001071736,334333832333.50012
1000000,7,1,parallel,static,0.001065805,334333832333.50012
1000000,7,1,parallel,dynamic,0.016316121,334333832333.50012
1000000,7,1,parallel,guided,0.001039245,334333832333.50012
1000000,1,2,parallel,static,0.001164078,334333832333.50012
1000000,1,2,parallel,dynamic,0.050705592,334333832333.50012
1000000,1,2,parallel,guided,0.000811578,334333832333.50012
1000000,2,2,parallel,static,0.000875905,334333832333.50012
1000000,2,2,parallel,dynamic,0.031698625,334333832333.50012
1000000,2,2,parallel,guided,0.000961753,334333832333.50012
1000000,3,2,parallel,static,0.000837481,334333832333.50012
1000000,3,2,parallel,dynamic,0.028273669,334333832333.50012
1000000,3,2,parallel,guided,0.000595174,334333832333.50012
1000000,4,2,parallel,static,0.000653158,334333832333.50012
1000000,4,2,parallel,dynamic,0.032896159,334333832333.50012
1000000,4,2,parallel,guided,0.000600772,334333832333.50012
1000000,5,2,parallel,static,0.000501081,334333832333.50012
1000000,5,2,parallel,dynamic,0.052275430,334333832333.50012
1000000,5,2,parallel,guided,0.000568682,334333832333.50012
1000000,6,2,parallel,static,0.000457503,334333832333.50012
1000000,6,2,parallel,dynamic,0.029843855,334333832333.50012
1000000,6,2,parallel,guided,0.000881566,334333832333.50012
1000000,7,2,parallel,static,0.000663721,334333832333.50012
1000000,7,2,parallel,dynamic,0.040164162,334333832333.50012
1000000,7,2,parallel,guided,0.001012913,334333832333.50012
1000000,1,4,parallel,static,0.000708038,334333832333.50012
1000000,1,4,parallel,dynamic,0.043765209,334333832333.50012
1000000,1,4,parallel,guided,0.000481360,334333832333.50012
1000000,2,4,parallel,static,0.000511281,334333832333.50012
1000000,2,4,parallel,dynamic,0.045259544,334333832333.50012
1000000,2,4,parallel,guided,0.000477612,334333832333.50012
1000000,3,4,parallel,static,0.000475352,334333832333.50012
1000000,3,4,parallel,dynamic,0.043998113,334333832333.50012
1000000,3,4,parallel,guided,0.000431277,334333832333.50012
1000000,4,4,parallel,static,0.000410744,334333832333.50012
1000000,4,4,parallel,dynamic,0.040524994,334333832333.50012
